int_bit,reduced_rank,quant_method,final_layer_quantized,accuracy,time_taken_quant_eval_s
2,8,uniform,True,98.4,18.87
2,8,uniform,False,98.36,18.62
2,8,normal,True,97.91,18.52
2,8,normal,False,98.44,19.20
2,16,uniform,True,98.57,17.99
2,16,uniform,False,98.57,17.95
2,16,normal,True,98.66,20.51
2,16,normal,False,98.66,22.27
4,8,uniform,True,98.72,22.51
4,8,uniform,False,98.7,23.94
4,8,normal,True,98.69,22.94
4,8,normal,False,98.69,22.22
4,16,uniform,True,98.73,22.50
4,16,uniform,False,98.73,22.64
4,16,normal,True,98.65,21.85
4,16,normal,False,98.65,22.22
8,8,uniform,True,98.75,22.21
8,8,uniform,False,98.73,22.76
8,8,normal,True,98.72,22.37
8,8,normal,False,98.75,22.23
8,16,uniform,True,98.74,22.48
8,16,uniform,False,98.74,22.15
8,16,normal,True,98.76,22.67
8,16,normal,False,98.76,22.69
